trip_distance,tip_amount,fare_amount,total_amount,passenger_count,start_hour,start_day,start_weekday,start_month,trip_duration_minutes
0.0,0.0,2.5,3.3,2.0,8,1,Thursday,7,0.1
22.31,0.0,69.5,70.3,2.0,8,1,Thursday,7,76.96666666666667
2.31,2.0,11.5,14.3,1.0,8,1,Thursday,7,13.916666666666666
1.67,2.32,8.5,11.62,6.0,8,1,Thursday,7,9.166666666666666
1.02,1.46,6.5,8.76,6.0,8,1,Thursday,7,7.45
1.33,2.01,6.5,12.06,6.0,8,1,Thursday,7,6.133333333333334
1.34,0.0,6.5,10.05,1.0,8,1,Thursday,7,6.25
2.39,2.91,11.0,17.46,1.0,8,1,Thursday,7,14.066666666666666
1.8,0.0,7.0,7.8,1.0,8,1,Thursday,7,5.833333333333333
4.4,2.0,14.0,19.55,1.0,8,1,Thursday,7,9.816666666666666
1.67,1.66,7.5,9.96,1.0,8,1,Thursday,7,7.316666666666666
1.18,0.0,7.5,8.3,1.0,8,1,Thursday,7,8.166666666666666
1.96,2.58,9.5,12.88,1.0,8,1,Thursday,7,11.533333333333333
1.34,1.66,7.5,9.96,1.0,8,1,Thursday,7,7.85
1.16,0.0,7.5,8.3,1.0,8,1,Thursday,7,9.366666666666667
0.85,0.0,5.0,5.8,1.0,8,1,Thursday,7,4.6
1.45,1.56,7.0,9.36,1.0,8,1,Thursday,7,7.066666666666666
1.91,2.31,8.0,13.86,1.0,8,1,Thursday,7,9.066666666666666
16.3,0.0,52.0,52.8,1.0,8,1,Thursday,7,54.483333333333334
1.8,1.96,9.0,11.76,1.0,8,1,Thursday,7,10.45
1.39,2.32,8.5,11.62,1.0,8,1,Thursday,7,10.25
1.6,0.0,2.5,3.3,1.0,8,1,Thursday,7,0.1
1.6,0.0,2.5,3.3,1.0,8,1,Thursday,7,0.06666666666666667
1.6,0.0,2.5,3.3,1.0,8,1,Thursday,7,0.11666666666666667
17.7,12.65,52.0,72.0,1.0,8,1,Thursday,7,32.88333333333333
1.39,1.46,6.5,8.76,1.0,8,1,Thursday,7,6.666666666666667
2.35,2.61,9.5,15.66,1.0,8,1,Thursday,7,9.716666666666667
0.91,0.0,6.0,6.8,1.0,8,1,Thursday,7,5.533333333333333
1.41,0.0,10.5,11.3,1.0,8,1,Thursday,7,15.5
4.56,0.0,17.0,20.55,1.0,8,1,Thursday,7,19.6
1.7,0.0,7.0,7.8,1.0,8,1,Thursday,7,6.1
0.0,0.0,7.2,8.0,1.0,8,1,Thursday,7,5.716666666666667
0.0,0.0,10.2,11.0,1.0,8,1,Thursday,7,20.883333333333333
6.96,0.0,28.0,28.3,1.0,8,1,Thursday,7,13.416666666666666
0.15,0.0,4.0,4.8,1.0,8,1,Thursday,7,3.466666666666667
2.34,2.06,9.5,12.36,1.0,8,1,Thursday,7,9.0
0.0,0.0,15.2,16.0,1.0,8,1,Thursday,7,25.616666666666667
1.25,2.01,6.5,12.06,1.0,8,1,Thursday,7,6.716666666666667
0.0,0.0,18.2,19.0,1.0,8,1,Thursday,7,17.25
0.0,0.0,13.2,14.0,1.0,8,1,Thursday,7,21.366666666666667
1.81,1.86,8.5,11.16,1.0,8,1,Thursday,7,9.15
1.92,1.2,10.0,12.0,1.0,8,1,Thursday,7,12.483333333333333
1.08,0.0,7.0,7.8,1.0,8,1,Thursday,7,8.083333333333334
2.26,2.36,11.0,14.16,1.0,8,1,Thursday,7,12.816666666666666
9.54,0.0,38.5,48.6,5.0,8,1,Thursday,7,45.36666666666667
